study_hours,attendance,previous_score,assignments_completed,exam_score
1.5,65,52,4,48
2.0,70,55,5,53
2.5,72,58,6,57
3.0,75,61,6,61
3.5,78,64,7,65
4.0,80,68,8,70
4.5,83,71,8,74
5.0,85,75,9,78
5.5,88,78,9,82
6.0,90,81,10,86
6.5,92,84,10,89
7.0,94,87,10,93
7.5,96,90,10,96
2.2,68,54,5,52
3.2,77,63,7,64
4.2,82,69,8,72
5.2,87,76,9,80
6.2,91,83,10,87
1.8,66,50,4,49
3.8,79,67,8,68
4.8,84,73,9,76
5.8,89,80,9,84
6.8,93,86,10,91
7.2,95,88,10,94
2.8,74,60,6,59
3.6,76,65,7,66
4.6,81,72,8,74
5.6,86,79,9,82
6.6,90,85,10,89
1.2,62,48,3,45
2.4,71,57,5,55
3.4,77,62,7,63
4.4,83,70,8,72
5.4,88,77,9,80
6.4,92,82,10,88
7.4,97,91,10,97
